StudentID,FirstName,LastName,DateOfBirth,Email,Phone,Address,Department,EnrollmentYear,CGPA,Maths_Marks,Programming_Marks,Data Structures_Marks,Database_Marks,AI_Marks,Maths_Assignment_Status,Programming_Assignment_Status,Data Structures_Assignment_Status,Database_Assignment_Status,AI_Assignment_Status,Semester,Attendance_Percentage,Course,Building_Block,Fees_Status
S00021,Jay,Richardson,2004-07-25,scannon@mccarthy.com,524.983.0350,"3582 Huff Row, Taylorbury, NM 55646",EEE,2020,2.14,76,70,42,98,54,Submitted,Late,Submitted,Submitted,Submitted,6,73,BBA,D Block,Paid
S00022,Tara,Hale,2002-10-20,parkerjack@yahoo.com,806-509-7527x407,"84643 Acosta Pass, Drewtown, NV 20801",Architecture,2017,2.77,85,95,73,62,72,Submitted,Submitted,Pending,Submitted,Pending,4,99,BSc CS,A Block,Partial
S00023,John,Pham,2004-07-09,rachelgeorge@johnston-moore.net,(777)304-7468x74856,"741 Baker Center Suite 669, Jeremyburgh, VA 76327",CSE,2020,3.62,84,99,65,40,49,Submitted,Submitted,Submitted,Submitted,Submitted,8,82,BBA,Admin Block,Pending
S00024,Matthew,Wilson,2006-10-16,potterann@yahoo.com,658-162-1927x3041,"43756 Debbie Knoll, South Gwendolynstad, AR 78527",BBA,2022,2.9,92,73,61,57,52,Submitted,Submitted,Pending,Submitted,Submitted,7,70,B.Tech,A Block,Pending
S00025,Ashley,Mullins,1999-05-22,hernandezjoseph@campbell.com,001-271-531-6228,"9966 Samantha Orchard Suite 391, South Jacksonberg, SC 21802",Architecture,2021,3.55,77,76,61,71,99,Submitted,Pending,Submitted,Submitted,Submitted,3,64,B.Tech,Admin Block,Paid
S00026,Hannah,Alvarez,2002-05-02,kingstephanie@hotmail.com,(933)992-1191x77188,"5891 Perry Mews Suite 762, South Valerietown, FL 07448",EEE,2019,3.51,50,72,89,73,98,Submitted,Submitted,Submitted,Submitted,Late,3,71,BSc CS,Admin Block,Paid
S00027,Valerie,Wilkerson,2000-01-27,yballard@gmail.com,(029)662-6584x99284,"33966 Ellis Knoll, Javierview, IL 32992",BBA,2016,2.51,50,61,97,76,41,Pending,Submitted,Pending,Submitted,Submitted,2,85,BCA,D Block,Paid
S00028,Evelyn,Weber,1999-12-21,kylemarsh@reynolds-miller.com,639.980.2034,"283 Amy River Suite 620, Port Davidtown, WI 03584",CSE,2016,3.05,57,51,91,96,95,Submitted,Submitted,Pending,Submitted,Submitted,6,64,B.Arch,B Block,Paid
S00029,Jessica,Miller,2006-10-07,hannah53@melendez.biz,539.589.7748x774,"939 Walsh Rest Apt. 868, Lake James, IA 45648",ME,2022,2.12,90,59,87,47,93,Pending,Late,Pending,Late,Submitted,1,79,BCA,C Block,Pending
S00030,Brandi,Pena,2003-12-07,cassandranewton@yahoo.com,(679)475-0607x39648,"592 Hughes Spring, Mccoyville, DC 07388",EEE,2019,2.49,78,50,82,52,54,Submitted,Submitted,Late,Submitted,Submitted,3,80,BCA,C Block,Pending
S00031,Jeffrey,Douglas,2005-12-04,cynthiaroth@scott.biz,001-032-904-0164,"63570 Edwards Stream, Kimberlyberg, CT 08387",BBA,2015,3.78,78,67,89,42,63,Submitted,Submitted,Submitted,Pending,Submitted,4,98,B.Arch,B Block,Paid
S00032,Matthew,Walker,2002-08-26,moorejessica@pearson-johnson.biz,955-898-9962x4638,"837 Dennis Park, Karenmouth, AK 32613",CE,2015,2.72,44,46,41,90,84,Submitted,Pending,Submitted,Pending,Pending,6,91,BCA,C Block,Paid
S00033,Kylie,Greene,2006-03-31,fdyer@gmail.com,993.385.4119,"231 Garcia Stream, Rogerberg, OR 42483",ME,2016,2.75,97,46,70,53,80,Submitted,Submitted,Pending,Submitted,Submitted,4,88,BSc CS,A Block,Pending
S00034,Brianna,Simmons,2006-12-01,jenkinsgrace@hotmail.com,2267370050,"855 Michael Lakes, Devinfurt, ME 71760",BBA,2021,2.25,44,61,97,96,86,Submitted,Submitted,Pending,Submitted,Submitted,4,60,B.Arch,D Block,Paid
S00035,Lee,Hale,2004-04-12,shelby31@yahoo.com,(863)479-7583x310,"4325 Sanchez Fork Suite 316, Austinville, AL 31242",EEE,2019,2.53,83,96,46,63,79,Submitted,Pending,Submitted,Submitted,Pending,2,85,BSc CS,C Block,Pending
S00036,Connie,Cohen,2004-04-04,valerierobles@rogers-wallace.biz,399.397.5123x48817,"2482 Fitzgerald Springs, Rasmussenborough, IA 86692",Architecture,2022,2.37,58,60,40,46,76,Pending,Submitted,Submitted,Submitted,Late,2,87,BCA,A Block,Paid
S00037,James,Lowe,2002-02-13,tonya65@hotmail.com,001-264-063-8236,"9311 Nolan Views Suite 613, Davismouth, GA 81387",EEE,2021,2.01,67,91,54,97,40,Submitted,Submitted,Submitted,Pending,Submitted,4,86,BBA,B Block,Paid
S00038,Tina,Stevenson,2000-09-06,amanda07@johnson-diaz.net,+1-952-531-3781,"53770 Mark Stream Apt. 704, East Francisco, OK 85521",ME,2021,2.82,53,78,71,72,66,Submitted,Submitted,Submitted,Submitted,Submitted,2,83,B.Tech,D Block,Paid
S00039,Paul,Hernandez,2005-07-19,uedwards@hotmail.com,078-082-0078,"8406 Tammy Villages Suite 265, Port Destiny, TN 55369",CE,2018,3.31,65,82,68,63,68,Submitted,Submitted,Pending,Submitted,Submitted,1,65,BCA,A Block,Pending
S00040,David,Shea,2002-12-30,james66@king.com,001-423-536-1820x17881,"4909 Christopher Stream, Michelleshire, DC 42574",CSE,2015,3.91,43,68,42,71,99,Submitted,Submitted,Submitted,Late,Submitted,2,88,B.Tech,Admin Block,Pending
S00041,Christopher,Thompson,2002-11-15,heathermoran@hotmail.com,(819)740-5555x134,"USCGC Coleman, FPO AP 08105",EEE,2016,3.54,77,49,69,43,55,Submitted,Submitted,Pending,Pending,Pending,5,93,B.Arch,B Block,Partial
S00042,Michael,Forbes,1999-12-09,jonesmichael@smith.com,164.761.2401x0093,"133 Donald Light, Jameshaven, VA 41015",CSE,2019,2.44,75,85,53,51,67,Submitted,Submitted,Submitted,Submitted,Pending,1,85,B.Tech,A Block,Paid
S00043,Erica,Rice,2006-04-25,millermike@sheppard.com,094.775.9796x946,"342 Decker Shore, Michelefurt, CT 86292",EEE,2015,2.23,62,80,98,79,68,Pending,Submitted,Late,Submitted,Submitted,1,73,B.Arch,A Block,Paid
S00044,Joe,Sanchez,2002-09-06,lori40@gmail.com,001-642-413-2081x83433,"989 Colleen Cove Apt. 280, Herrerashire, OR 70202",EEE,2020,2.81,90,75,80,64,42,Submitted,Submitted,Pending,Submitted,Late,8,93,BCA,C Block,Partial
S00045,Brandon,Brewer,2006-01-04,williamsadrian@yahoo.com,(391)421-6385x0789,"3145 Lori Harbor, Barrettchester, ID 83497",CSE,2019,3.03,88,89,59,48,65,Pending,Submitted,Submitted,Submitted,Submitted,4,77,BCA,A Block,Partial
S00046,Emily,Hanson,1999-11-12,knelson@evans.net,+1-244-350-3753x7723,"5636 Bruce Meadows, West Belindaville, ID 24246",ME,2018,2.5,43,79,61,98,80,Submitted,Submitted,Pending,Submitted,Submitted,2,82,BBA,B Block,Paid
S00047,Eric,Barton,2005-07-02,sanfordsusan@thompson.info,(488)184-2989x9606,"3758 Kristen Tunnel, Rivasfurt, VT 79501",CSE,2016,3.95,44,82,88,90,92,Submitted,Submitted,Submitted,Submitted,Submitted,4,77,BBA,B Block,Paid
S00048,Christopher,Carter,2004-11-21,brentstephens@mosley-baker.com,462.057.9035,"Unit 3394 Box 4733, DPO AA 96775",ME,2020,2.49,44,43,76,96,95,Pending,Submitted,Pending,Submitted,Submitted,1,93,BCA,D Block,Paid
S00049,Julia,Johnson,2003-08-01,frazierandrew@rodriguez.com,(518)552-1068,"096 Wood Estate Apt. 896, Andreaton, AR 64862",ME,2015,3.42,51,66,80,82,61,Late,Submitted,Pending,Pending,Submitted,3,69,B.Arch,A Block,Paid
S00050,Jeff,Murphy,1999-09-22,bakerjesse@davies-davis.net,569-212-5062x39393,"PSC 6028, Box 5993, APO AP 99894",BBA,2022,3.12,72,40,46,56,60,Submitted,Submitted,Submitted,Submitted,Submitted,4,76,BBA,D Block,Partial
S00051,Connor,Reed,2002-11-06,alex52@smith.com,(774)169-1780x415,"6076 Castro Fields Apt. 004, North Michelletown, CA 31725",BBA,2019,3.41,86,97,79,57,80,Submitted,Pending,Late,Late,Submitted,6,80,BCA,C Block,Pending
S00052,Kathleen,Castro,2005-09-18,guzmanelizabeth@yahoo.com,+1-512-656-0154,"78663 Krystal Mills, West Cathyshire, ND 68258",ME,2019,3.1,44,99,87,85,90,Submitted,Submitted,Submitted,Late,Submitted,4,99,B.Tech,B Block,Pending
S00053,Daniel,Hall,2004-06-25,dorothy41@yahoo.com,950.956.0214x4157,"273 Gardner Square Apt. 443, Port Wandaville, ND 69971",BBA,2023,3.11,54,89,49,46,44,Pending,Submitted,Submitted,Submitted,Submitted,1,87,B.Arch,Admin Block,Paid
S00054,Tara,Tyler,2003-07-04,mcdonaldnancy@wright-monroe.com,(169)655-5589x918,"935 Scott Causeway, Lake Peterborough, AL 27543",EEE,2021,3.58,88,66,67,91,64,Submitted,Submitted,Pending,Pending,Submitted,2,97,B.Tech,C Block,Paid
S00055,Andrew,Hale,2000-01-06,virginiacain@meyer.com,(486)592-3670x89761,"4408 Martinez Trail Suite 636, Markport, MS 71030",BBA,2016,3.63,57,46,79,82,93,Pending,Submitted,Late,Pending,Submitted,6,77,B.Arch,D Block,Partial
S00056,Richard,Hines,2004-08-21,bpatrick@hotmail.com,+1-538-193-1463x514,"073 Timothy Cliff Apt. 463, New Jody, CA 35843",ME,2019,3.93,93,70,67,58,88,Submitted,Late,Late,Submitted,Pending,8,80,BSc CS,D Block,Partial
S00057,Robert,Alvarado,2002-01-28,jessica44@gmail.com,001-065-935-9211x370,"1622 Martinez Springs, Schmittberg, MO 96481",CSE,2021,2.96,49,82,44,63,57,Submitted,Submitted,Pending,Late,Pending,5,86,BBA,Admin Block,Pending
S00058,Lindsey,Trevino,2004-03-19,eric07@lambert.com,(630)160-2085x4943,"5036 Anthony Fort Suite 546, East Jeffery, MD 53260",EEE,2021,3.73,55,95,84,69,46,Submitted,Submitted,Pending,Pending,Late,8,82,BSc CS,Admin Block,Paid
S00059,Holly,Richards,1999-10-04,jayarias@yahoo.com,645-186-0920,"5657 David Glens, South Sarahport, LA 80431",ME,2021,2.77,46,92,50,43,59,Submitted,Submitted,Submitted,Submitted,Submitted,1,88,BCA,A Block,Paid
S00060,Janice,Willis,2003-04-16,upeters@hopkins.net,942-558-4059,"0717 Simpson Landing Apt. 653, West Davidmouth, NC 47157",BBA,2016,2.4,50,92,91,56,78,Pending,Submitted,Pending,Submitted,Submitted,1,62,BCA,D Block,Paid
S00061,Christina,Costa,1999-08-14,richardkim@gmail.com,(930)020-6992x4729,"USS Pena, FPO AP 90440",BBA,2015,3.72,76,48,69,63,83,Submitted,Submitted,Pending,Submitted,Submitted,3,68,BCA,A Block,Paid
S00062,Jonathan,Carroll,2002-04-03,hmarquez@bishop.com,+1-045-054-0464x61486,"14476 Perry Harbor, Lake Ralphshire, NJ 49730",BBA,2016,3.17,47,81,48,63,89,Submitted,Pending,Pending,Submitted,Late,2,76,BSc CS,Admin Block,Paid
S00063,Kristy,Peterson,2005-02-22,shawjanet@holmes.com,3246701118,"60950 Stevens Center Apt. 309, West Paulborough, MO 34313",Architecture,2017,3.01,44,86,46,73,75,Pending,Late,Late,Pending,Submitted,4,61,BBA,C Block,Paid
S00064,Tina,Kelly,1999-03-07,mgonzalez@hotmail.com,(789)368-1466x3518,"183 Michele Ways Suite 967, Davidland, WA 26882",CSE,2019,2.36,49,51,99,53,87,Pending,Pending,Submitted,Pending,Submitted,6,95,BCA,C Block,Pending
S00065,Sherri,Jones,2002-01-22,walkercourtney@yahoo.com,+1-107-778-4263x08376,"3057 Mark Knolls Apt. 728, Madisonfort, WI 98351",Architecture,2023,2.47,87,57,78,99,79,Pending,Submitted,Late,Submitted,Submitted,4,85,BBA,D Block,Paid
S00066,Brittany,Randolph,2001-08-26,zmatthews@williams-anderson.com,+1-519-517-9514x69116,"0070 Barrera Radial Suite 244, Lake Richard, WV 11702",BBA,2015,3.61,46,56,48,83,73,Submitted,Pending,Pending,Submitted,Submitted,3,96,B.Arch,A Block,Paid
S00067,Christina,Santos,2006-07-17,daniellelittle@pena.org,001-112-898-0181x52645,"688 Katie Cliffs, Melissahaven, AZ 81286",BBA,2017,2.73,56,94,44,43,57,Submitted,Submitted,Late,Submitted,Late,1,83,BBA,A Block,Paid
S00068,John,Smith,2004-03-27,susan37@carrillo-velasquez.com,(490)230-1288x8179,"50909 Fuller Grove, Lake Marilyn, IA 49968",CSE,2020,2.61,94,46,66,59,78,Late,Pending,Submitted,Pending,Submitted,6,82,BCA,B Block,Paid
S00069,James,Richards,2003-08-02,yvonne56@washington.net,001-339-719-4937x24976,"USNS Lara, FPO AP 69128",CE,2023,3.83,91,64,53,74,88,Submitted,Submitted,Submitted,Submitted,Submitted,6,95,B.Tech,C Block,Paid
S00070,Taylor,Wu,2006-01-16,zacharybrown@garcia-cordova.com,+1-755-420-7936x479,"108 Megan Fields Apt. 681, North Corey, NH 35573",Architecture,2015,2.99,41,41,88,46,51,Submitted,Late,Submitted,Late,Late,3,69,B.Tech,D Block,Paid
S00071,Sarah,Weaver,1999-09-21,christinacosta@hotmail.com,668-064-0275x8006,"42523 Paula Ridge, Turnerstad, SC 50969",CE,2021,2.2,78,93,90,65,56,Submitted,Submitted,Submitted,Submitted,Submitted,7,85,BBA,B Block,Paid
S00072,Cindy,English,2003-04-02,bobbywilliams@hotmail.com,+1-932-083-6887x23782,"6283 Rogers Track Suite 470, Clairemouth, MA 87899",CE,2015,2.6,62,75,85,51,44,Pending,Submitted,Pending,Submitted,Submitted,2,65,B.Arch,D Block,Paid
S00073,Bryan,Taylor,2000-11-12,jward@hotmail.com,603.232.5450x231,"1758 Sarah Mill, North Shelleyview, WY 88890",BBA,2017,2.14,85,93,64,42,54,Submitted,Pending,Submitted,Submitted,Submitted,7,92,B.Arch,Admin Block,Paid
S00074,Susan,Lloyd,2006-05-18,matthewsandrew@gmail.com,(018)774-9786,"170 Laura Rest Suite 672, Michaeltown, IN 20374",CE,2019,3.77,84,50,42,46,50,Submitted,Submitted,Submitted,Submitted,Submitted,6,68,BSc CS,C Block,Paid
S00075,Tracy,Baxter,2000-08-06,paguilar@gilmore-shaw.com,+1-826-113-2819x04274,"89316 Smith Island Suite 348, Bobbyberg, VA 54855",CSE,2023,3.26,58,45,55,44,90,Submitted,Submitted,Submitted,Submitted,Submitted,2,88,BCA,B Block,Paid
S00076,Gary,Leach,1999-01-15,victormontgomery@yahoo.com,663-930-9493,"008 Scott Lane, Lake Geraldshire, VA 90793",CSE,2021,3.32,46,40,59,55,76,Submitted,Submitted,Submitted,Submitted,Submitted,3,75,B.Tech,B Block,Paid
S00077,Adam,Lee,1999-11-13,michael25@bowen-tate.com,+1-308-935-2194,"82806 Donald Shoal Suite 167, Lake April, UT 70469",CSE,2018,3.64,79,98,70,54,62,Submitted,Pending,Submitted,Submitted,Submitted,7,97,BCA,C Block,Paid
S00078,Rebecca,Molina,2001-12-24,rhodge@yahoo.com,8021417460,"8400 Fischer Vista Suite 986, Lake Joshuachester, VT 33773",ME,2022,2.22,40,78,78,67,60,Submitted,Submitted,Pending,Submitted,Submitted,6,67,B.Tech,Admin Block,Paid
S00079,Regina,Bradford,2006-10-16,owensmercedes@gmail.com,340-016-3012,"451 Freeman Estate Suite 686, Palmerside, MN 46113",Architecture,2019,2.2,79,61,82,77,82,Submitted,Submitted,Submitted,Submitted,Submitted,2,74,B.Arch,Admin Block,Pending
S00080,Michael,Rogers,2004-04-07,stephanielee@wiggins.info,001-285-262-0543x22125,"711 Phelps Burg Suite 880, Mayoshire, AZ 03210",EEE,2023,2.8,93,73,95,73,91,Pending,Submitted,Pending,Submitted,Pending,6,68,BSc CS,B Block,Pending
S00081,Michele,Rowe,1999-08-30,monicaconley@smith.org,001-314-382-1859x830,"514 Julie Turnpike, Munoztown, ID 62462",CE,2019,2.1,43,60,44,71,67,Pending,Submitted,Submitted,Submitted,Submitted,1,78,B.Tech,Admin Block,Paid
S00082,Emily,Fields,2002-10-13,woodkeith@gmail.com,+1-683-425-2820x6056,"5176 Laura Greens, Zoeville, SC 37710",BBA,2015,2.54,97,52,44,58,57,Submitted,Submitted,Submitted,Pending,Submitted,7,84,BCA,A Block,Paid
S00083,Robert,Barton,1999-03-08,dwilliams@hotmail.com,8660161298,"5166 Brian Streets Suite 359, South Kara, MT 86617",Architecture,2019,2.98,93,91,67,46,84,Late,Pending,Submitted,Submitted,Submitted,4,73,BCA,C Block,Paid
S00084,Hannah,Kelley,2004-12-05,iyoder@calhoun.com,+1-465-287-9996,"4926 Joshua Views, North Mariah, MT 74596",Architecture,2015,3.54,43,95,62,93,88,Submitted,Submitted,Submitted,Submitted,Late,1,89,B.Arch,A Block,Pending
S00085,Robert,Shields,2000-08-18,jhughes@hotmail.com,(443)234-5606x43595,"4003 Miles Run, West Carolville, KY 10076",Architecture,2015,3.81,98,68,55,94,41,Submitted,Submitted,Submitted,Pending,Pending,5,99,BBA,Admin Block,Paid
S00086,Matthew,Carter,2005-02-24,barbara96@hotmail.com,691.799.9047,"Unit 1438 Box 6652, DPO AA 20058",ME,2021,3.01,81,59,80,52,73,Submitted,Submitted,Late,Pending,Submitted,4,63,B.Tech,B Block,Paid
S00087,Michelle,Brown,2002-12-04,smallmichael@marshall.org,721.643.9024x0534,"419 Schmitt Viaduct Suite 784, Lake Jennifer, ID 23188",ME,2023,2.58,43,50,52,53,69,Submitted,Submitted,Late,Pending,Submitted,6,97,BCA,B Block,Pending
S00088,Blake,Smith,2006-07-13,casey80@moss.info,(749)737-2551,"676 Stephen Route Apt. 558, Lake Leslieburgh, GA 59880",ME,2020,3.27,96,49,57,50,70,Pending,Submitted,Submitted,Submitted,Submitted,1,75,BCA,B Block,Pending
S00089,Rhonda,Richards,2001-08-16,crystallewis@soto-adams.com,+1-920-836-4880,"8173 Hernandez Grove, Lake Michelleview, VA 06114",CSE,2023,3.43,52,99,43,51,84,Submitted,Pending,Submitted,Submitted,Submitted,6,91,BBA,Admin Block,Paid
S00090,Cynthia,Taylor,2005-01-27,judithcole@hotmail.com,001-534-257-7647x87005,"01875 Farrell Key, Mannchester, RI 81752",ME,2020,2.85,94,62,43,63,65,Submitted,Pending,Submitted,Submitted,Submitted,7,97,B.Arch,Admin Block,Paid
S00091,Brian,Lee,2006-03-27,lindsaygomez@nelson.com,(404)959-2638x65388,"2000 Morrison Rue, East Steven, IN 17360",CSE,2017,3.5,84,47,63,99,98,Submitted,Late,Late,Submitted,Submitted,4,82,B.Arch,B Block,Pending
S00092,Richard,Johnson,2006-03-04,hkane@thomas.biz,001-392-122-0736x98527,"48488 Howard Land, Alexisberg, AR 88449",BBA,2019,2.97,74,58,40,75,82,Pending,Submitted,Submitted,Submitted,Submitted,5,66,BBA,Admin Block,Paid
S00093,Kenneth,Smith,2000-01-31,cunninghamjohn@fox-jennings.com,272-589-2263x0668,"179 Miranda Mountain Apt. 305, North Amber, OH 77406",CE,2017,2.75,70,92,61,83,93,Submitted,Submitted,Pending,Submitted,Submitted,8,63,B.Arch,A Block,Paid
S00094,Alyssa,Price,2006-06-23,janiceoneill@thomas-russo.com,467-898-3669x18732,"2279 Walter Ford Suite 814, Sheltonshire, MD 33199",CSE,2015,3.97,99,87,78,71,94,Submitted,Submitted,Submitted,Pending,Late,5,88,B.Tech,B Block,Pending
S00095,Veronica,Lowe,1999-06-08,nmata@hotmail.com,(837)774-8168x97312,"767 Scott Coves, Patrickborough, NC 98900",CE,2016,2.21,67,76,64,95,78,Pending,Submitted,Submitted,Pending,Submitted,5,81,B.Tech,D Block,Paid
S00096,Matthew,Paul,1999-11-04,dcontreras@hall.net,(625)715-4421x8762,"4138 Prince Mission Suite 069, Doyleland, LA 73390",BBA,2021,2.04,46,64,99,43,65,Submitted,Submitted,Late,Submitted,Submitted,2,81,BBA,D Block,Paid
S00097,Sarah,Fisher,2005-05-06,iburgess@sullivan-armstrong.com,372-711-0850x535,"58324 Cain Locks, Pattersonfurt, NC 74606",Architecture,2023,3.26,96,91,74,49,70,Submitted,Submitted,Submitted,Submitted,Submitted,8,63,BCA,D Block,Paid
S00098,Bradley,Brewer,2003-02-13,melissacummings@barnett.biz,119.215.2238x43262,"682 Harper Lodge Apt. 861, Lake Daniel, MA 51978",Architecture,2021,3.57,63,96,64,99,81,Submitted,Submitted,Submitted,Pending,Pending,5,79,BSc CS,Admin Block,Paid
S00099,Stephanie,Myers,2003-04-06,newmanzachary@johnson.com,744.209.3862,"6910 Andrea Coves Suite 344, Port Stephenside, SC 27198",CSE,2022,3.34,83,48,90,54,61,Submitted,Submitted,Submitted,Submitted,Late,1,74,BCA,B Block,Pending
S00100,Albert,Nichols,2004-06-17,duncanryan@hotmail.com,367.486.0884,"84574 Chase Mission, Matthewmouth, WA 43902",Architecture,2022,2.94,86,59,50,85,46,Pending,Submitted,Submitted,Submitted,Submitted,7,61,B.Arch,C Block,Paid
S00101,Jeremy,Mckee,2004-03-25,pfrederick@hotmail.com,401-098-9592,"24401 Davidson Throughway Suite 169, Richardfort, IN 66753",BBA,2015,2.2,55,88,99,88,59,Pending,Submitted,Submitted,Submitted,Submitted,3,92,BCA,B Block,Paid
S00102,Joshua,Dalton,1999-08-26,zlawrence@yahoo.com,288-073-0532,"PSC 5272, Box 0921, APO AA 43666",Architecture,2023,2.95,94,56,43,71,80,Submitted,Pending,Pending,Submitted,Submitted,1,71,B.Arch,C Block,Pending
S00103,Scott,Gonzalez,2001-02-08,kgardner@kramer.com,5810633869,"7932 James Run, Weberburgh, VT 96934",ME,2017,2.28,82,87,70,65,47,Submitted,Pending,Submitted,Late,Submitted,5,61,BSc CS,C Block,Partial
S00104,Jonathon,Donovan,2005-05-04,qvincent@davis.com,9311440746,"70485 Michelle Expressway, East Paul, FL 39336",BBA,2022,3.69,96,64,74,81,68,Submitted,Submitted,Late,Submitted,Late,8,84,B.Tech,Admin Block,Pending
